timestamp,symbol,source,sentiment_label,sentiment_score
2026-05-03T15:07:50Z,AAVE,news,Bình thường,5.0150
2026-05-03T15:07:50Z,AAVE,macro,Bình thường,4.6900
2026-05-03T15:07:50Z,ENA,news,Bình thường,5.9800
2026-05-03T15:07:50Z,AAVE,social,Bình thường,3.0000
2026-05-03T15:07:50Z,ENA,macro,Bình thường,4.6900
2026-05-03T15:07:50Z,AAVE,funding,Bình thường,5.1700
2026-05-03T15:07:50Z,ENA,social,Bình thường,3.0000
2026-05-03T15:07:50Z,ENA,funding,Bình thường,5.0900
2026-05-03T15:07:50Z,UTK,macro,Hoàn toàn tiêu cực,4.6900
2026-05-03T15:07:50Z,UTK,social,Hoàn toàn tiêu cực,3.0000
2026-05-03T15:07:50Z,DASH,news,Tiêu cực,5.0000
2026-05-03T15:07:50Z,DASH,macro,Tiêu cực,4.6900
2026-05-03T15:07:50Z,DASH,social,Tiêu cực,3.0000
2026-05-03T15:07:50Z,DASH,funding,Tiêu cực,4.9100
2026-05-03T15:07:50Z,VIRTUAL,news,Bình thường,6.4550
2026-05-03T15:07:50Z,VIRTUAL,macro,Bình thường,4.6900
2026-05-03T15:07:50Z,VIRTUAL,social,Bình thường,3.0000
2026-05-03T15:07:50Z,VIRTUAL,funding,Bình thường,5.1200
2026-05-03T15:07:50Z,FET,news,Bình thường,6.6300
2026-05-03T15:07:50Z,FET,macro,Bình thường,4.6900
2026-05-03T15:07:50Z,FET,social,Bình thường,3.0000
2026-05-03T15:07:50Z,FET,funding,Bình thường,4.7700
2026-05-03T15:07:50Z,ARB,news,Tiêu cực,4.2800
2026-05-03T15:07:50Z,ARB,macro,Tiêu cực,4.6900
2026-05-03T15:07:50Z,ARB,social,Tiêu cực,3.0000
2026-05-03T15:07:50Z,ARB,funding,Tiêu cực,5.0800
2026-05-03T15:07:50Z,GIGGLE,macro,Tiêu cực,4.6900
2026-05-03T15:07:50Z,GIGGLE,social,Tiêu cực,3.0000
2026-05-03T15:07:50Z,GIGGLE,funding,Tiêu cực,5.1200
2026-05-03T15:07:50Z,BANANAS31,macro,Tiêu cực,4.6900
2026-05-03T15:07:50Z,BANANAS31,social,Tiêu cực,3.0000
2026-05-03T15:07:50Z,BANANAS31,funding,Tiêu cực,5.1200
2026-05-03T15:07:50Z,KNC,macro,Hoàn toàn tiêu cực,4.6900
2026-05-03T15:07:50Z,KNC,social,Hoàn toàn tiêu cực,3.0000
2026-05-03T15:07:50Z,KNC,funding,Hoàn toàn tiêu cực,0.0000
